Customer_ID,gender,Became_member_on,start_year,Age,Income,date,country,region,Item, Price ,Type,Quantity_ordered,event,reward,Channels,Difficulty,Duration,Offer_Type
67764709,M,20170212,2017,55,112000,1/26/2021,Canada,Ontario,Pineapple Passionfruit Starbucks Refreshers® Beverage,5.65,Drinks,3,offer Ignored,0,"['email', 'mobile', 'social']",0,3,No offer used
21841394,M,20170715,2017,75,100000,7/29/2020,Canada,Prince Edward Island,Iced Caffè Latte,4.95,Cold Coffee,2,transaction,2,"['web', 'email', 'mobile']",10,7,discount
72493670,F,20180712,2018,68,70000,10/2/2020,Canada,Nova Scotia,Cinnamon Dolce Latte,5.75,Hot Coffee,2,offer Ignored,5,"['web', 'email', 'mobile', 'social']",5,5,No offer used
43182872,M,20170509,2017,65,53000,9/12/2022,Canada,Quebec,Cinnamon Dolce Latte,5.75,Hot Coffee,2,offer Ignored,5,"['web', 'email', 'mobile', 'social']",5,5,No offer used
84720984,M,20170804,2017,58,51000,9/12/2021,Canada,Saskatchewan,Starbucks® Cold Brew Coffee,4.45,Cold Coffee,1,transaction,5,"['web', 'email', 'mobile']",5,7,bogo
96004332,M,20180426,2018,61,57000,7/14/2019,Canada,Ontario,Vanilla Bean Crème Frappuccino® Blended Crème,6.15,Frappuccino,2,offer completed,2,"['web', 'email', 'mobile', 'social']",10,10,discount
25528707,M,20170925,2017,26,46000,10/30/2022,Canada,Ontario,Butter Croissant,3.95,Bakery,2,transaction,10,"['web', 'email', 'mobile', 'social']",10,5,bogo
32424416,M,20171002,2017,62,71000,6/26/2020,Canada,Saskatchewan,"Bacon, Sausage & Egg Wrap",7.55,Breakfast,1,offer Ignored,5,"['web', 'email', 'mobile']",5,7,No offer used
74391092,M,20180209,2018,49,52000,12/28/2020,Canada,Quebec,Caramel Frappuccino® Blended Beverage,6.45,Frappuccino,2,offer Ignored,2,"['web', 'email', 'mobile', 'social']",10,10,No offer used
49454630,M,20161122,2016,57,42000,7/27/2022,Canada,Ontario,Chocolate Chip Cookie,3.55,Bakery,1,offer Ignored,5,"['web', 'email', 'mobile', 'social']",5,5,No offer used
79508904,M,20170824,2017,61,40000,5/19/2021,Canada,Quebec,Cinnamon Dolce Latte,5.75,Hot Coffee,2,offer Ignored,0,"['web', 'email', 'mobile']",0,4,No offer used
89707555,M,20150919,2015,40,71000,4/12/2020,Canada,Quebec,Pineapple Passionfruit Starbucks Refreshers® Beverage,5.65,Drinks,4,offer Ignored,2,"['web', 'email', 'mobile']",10,7,No offer used
2371967,M,20171111,2017,64,100000,5/3/2022,Canada,New Brunswick,Chicken Caprese on Ciabatta,8.75,Lunch,1,offer Ignored,10,"['email', 'mobile', 'social']",10,7,No offer used
22521117,F,20170911,2017,42,69000,8/8/2019,Canada,Ontario,Caffè Latte,4.95,Hot Coffee,6,offer Ignored,0,"['web', 'email', 'mobile']",0,4,No offer used
79260544,M,20140213,2014,56,88000,1/7/2022,Canada,Manitoba,Vanilla Sweet Cream Cold Brew,4.95,Cold Coffee,4,offer Ignored,2,"['web', 'email', 'mobile']",10,7,No offer used
18248637,M,20160211,2016,33,52000,7/20/2022,Canada,Ontario,Cappuccino,4.95,Hot Coffee,2,offer Ignored,2,"['web', 'email', 'mobile']",10,7,No offer used
12804781,F,20141113,2014,46,59000,9/2/2022,Canada,Alberta,Caramel Frappuccino® Blended Beverage,6.45,Frappuccino,5,offer Ignored,0,"['web', 'email', 'mobile']",0,4,No offer used
25879397,M,20170801,2017,59,41000,10/8/2021,Canada,Ontario,Starbucks® Cold Brew Coffee,4.45,Cold Coffee,2,transaction,10,"['email', 'mobile', 'social']",10,7,bogo
42217390,F,20171231,2017,67,96000,4/30/2021,Canada,New Brunswick,Strawberry Coconut Drink,6.45,Drinks,2,transaction,2,"['web', 'email', 'mobile']",10,7,discount
32126516,F,20180501,2018,53,52000,1/6/2020,Canada,Saskatchewan,Double Chocolate Brownie,3.95,Bakery,2,offer completed,10,"['web', 'email', 'mobile', 'social']",10,5,bogo
69488018,M,20160504,2016,22,7000,10/15/2021,Canada,Ontario,Butter Croissant,3.95,Bakery,1,offer Ignored,0,"['email', 'mobile', 'social']",0,3,No offer used
67546242,F,20170909,2017,40,33000,6/10/2019,Canada,Prince Edward Island,Mango Dragonfruit Starbucks Refreshers® Beverage,5.65,Drinks,3,offer Ignored,0,"['email', 'mobile', 'social']",0,3,No offer used
9845815,F,20170616,2017,69,57000,10/8/2019,Canada,Quebec,Iced Chai Tea Latte,5.65,Iced Tea,2,offer Ignored,0,"['web', 'email', 'mobile']",0,4,No offer used
61920501,M,20170907,2017,56,68000,2/28/2021,Canada,Ontario,Avocado Spread,1.75,Lunch,4,offer Ignored,5,"['web', 'email']",20,10,No offer used
45993192,F,20130811,2013,26,63000,1/23/2021,Canada,Quebec,Avocado Spread,1.75,Lunch,1,offer Ignored,10,"['web', 'email', 'mobile', 'social']",10,5,No offer used
7864593,F,20180428,2018,75,40000,3/3/2022,Canada,Prince Edward Island,Chocolate Cream Cold Brew,5.25,Cold Coffee,5,transaction,5,"['web', 'email', 'mobile', 'social']",5,5,bogo
38501824,Others,20170330,2017,20,11100,2/22/2021,Canada,Ontario,Chicken Caprese on Ciabatta,8.75,Lunch,2,offer Ignored,10,"['email', 'mobile', 'social']",10,7,No offer used
92530952,M,20170926,2017,45,33000,8/28/2020,Canada,New Brunswick,"Bacon-Style Turkey, Cheddar & Egg White Sandwich",6.15,Breakfast,4,offer Ignored,5,"['web', 'email']",20,10,No offer used
50126991,F,20170911,2017,61,98000,8/2/2020,Canada,Ontario,Iced Coffee with Milk,3.95,Cold Coffee,2,offer Ignored,5,"['web', 'email']",20,10,No offer used
35094215,F,20150121,2015,69,37000,8/21/2022,Canada,Prince Edward Island,Caffè Latte,4.95,Hot Coffee,2,offer Ignored,0,"['web', 'email', 'mobile']",0,4,No offer used
94863905,F,20140823,2014,54,80000,2/29/2020,Canada,New Brunswick,Chocolate Cream Cold Brew,5.25,Cold Coffee,1,offer Ignored,5,"['web', 'email']",20,10,No offer used
55512885,M,20170916,2017,39,51000,6/4/2022,Canada,Alberta,Chicken Caprese on Ciabatta,8.75,Lunch,1,offer Ignored,0,"['web', 'email', 'mobile']",0,4,No offer used
80709557,M,20170925,2017,41,41000,7/12/2022,Canada,Prince Edward Island,"Spinach, Feta and Cage Free Egg White Wrap",6.15,Breakfast,3,offer Ignored,5,"['web', 'email']",20,10,No offer used
98061713,M,20171117,2017,66,38000,2/26/2019,Canada,Ontario,Caffè Latte,4.95,Hot Coffee,2,transaction,2,"['web', 'email', 'mobile', 'social']",10,10,discount
74890645,M,20160709,2016,56,52000,3/23/2020,Canada,Manitoba,Vanilla Bean Crème Frappuccino® Blended Crème,6.15,Frappuccino,1,transaction,10,"['email', 'mobile', 'social']",10,7,bogo
67888579,F,20160814,2016,39,56000,6/17/2022,Canada,Ontario,Vanilla Bean Crème Frappuccino® Blended Crème,6.15,Frappuccino,1,offer Ignored,5,"['web', 'email', 'mobile']",5,7,No offer used
32180563,F,20160707,2016,42,96000,9/24/2019,Canada,Ontario,Butter Croissant,3.95,Bakery,2,offer Ignored,5,"['web', 'email', 'mobile']",5,7,No offer used
6491565,M,20140511,2014,45,48000,8/31/2021,Canada,Alberta,White Hot Chocolate,4.55,Hot Drinks,2,offer Ignored,0,"['web', 'email', 'mobile']",0,4,No offer used
95936845,M,20170812,2017,29,50000,9/27/2020,Canada,Quebec,"Bacon-Style Turkey, Cheddar & Egg White Sandwich",6.15,Breakfast,1,transaction,5,"['web', 'email', 'mobile']",5,7,bogo
35695945,M,20180113,2018,44,35000,9/27/2021,Canada,Ontario,White Chocolate Crème Frappuccino® Blended Beverage,6.45,Frappuccino,3,offer completed,0,"['web', 'email', 'mobile']",0,4,informational
6894652,F,20151112,2015,63,56000,10/7/2022,Canada,Ontario,Iced Shaken Espresso,4.45,Cold Coffee,3,offer Ignored,2,"['web', 'email', 'mobile']",10,7,No offer used
39583173,M,20160711,2016,36,56000,11/9/2021,Canada,Ontario,Chocolate Cream Cold Brew,5.25,Cold Coffee,1,offer Ignored,5,"['web', 'email', 'mobile', 'social']",5,5,No offer used
14704567,M,20180707,2018,76,47000,3/23/2021,Canada,Ontario,Iced Coffee with Milk,3.95,Cold Coffee,2,offer Ignored,0,"['web', 'email', 'mobile']",0,4,No offer used
41276559,M,20171121,2017,68,87000,10/10/2020,Canada,Manitoba,Iced Coffee with Milk,3.95,Cold Coffee,6,transaction,5,"['web', 'email']",20,10,discount
